City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
2,Saint-Philippe,RE,81.95,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Matara,LK,82.02,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
19,Rikitea,PF,76.39,broken clouds,-23.1203,-134.9692,People ThankYou
21,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
29,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
34,Kota Kinabalu,MY,89.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
38,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
39,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
45,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
48,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
54,Prabumulih,ID,88.54,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
56,Puerto Escondido,MX,77.18,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
60,Takoradi,GH,78.57,broken clouds,4.8845,-1.7554,Raybow International Hotel
61,Geraldton,AU,88.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
62,Carnarvon,AU,89.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
66,Esperance,AU,82.53,clear sky,-33.8667,121.9,Hospitality Esperance
70,Sinnamary,GF,77.22,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
72,Fare,PF,81.01,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
74,Victoria,HK,77.05,broken clouds,22.2855,114.1577,Mini Hotel Central
79,Georgetown,MY,87.73,scattered clouds,5.4112,100.3354,Cititel Penang
80,Busselton,AU,84.15,broken clouds,-33.65,115.3333,Observatory Guest House
87,Kandrian,PG,86.56,broken clouds,-6.2167,149.55,Kandrian Station
90,Saint-Pierre,RE,82.04,thunderstorm,-21.3393,55.4781,Lindsey Hôtel
93,Phan Thiet,VN,84.16,overcast clouds,10.9333,108.1,Hotel Saigon-PT
96,Butaritari,KI,82.29,broken clouds,3.0707,172.7902,Isles Sunset Lodge
101,Cairns,AU,85.95,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
104,Faanui,PF,81.01,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Puro,PH,83.7,overcast clouds,12.4841,123.3827,
115,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
117,Pangai,TO,80.76,light rain,-19.8,-174.35,Ha'apai Beach Resort
120,Gopalpur,IN,78.12,few clouds,19.2667,84.9167,Gopalpur Palm Resort
129,Atuona,PF,78.73,overcast clouds,-9.8,-139.0333,Villa Enata
135,Vao,NC,75.45,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
138,Honiara,SB,84.22,overcast clouds,-9.4333,159.95,Heritage Park Hotel
139,Townsville,AU,83.28,few clouds,-19.25,146.8,Rydges Southbank Townsville
144,Auki,SB,85.33,overcast clouds,-8.7676,160.7034,Auki Motel
145,Niono,ML,75.72,broken clouds,14.2526,-5.993,Hôtel Campement
151,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
161,Mazagao,BR,77.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
168,Sao Paulo De Olivenca,BR,75.06,overcast clouds,-3.3783,-68.8725,
169,Kavaratti,IN,83.1,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
170,Alyangula,AU,89.47,thunderstorm,-13.8483,136.4192,Groote Eylandt Lodge
172,Souillac,MU,84.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
178,Quatre Cocos,MU,84.31,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
183,Kavieng,PG,84.99,light rain,-2.5744,150.7967,Nusa Island Retreat
185,Cururupu,BR,75.78,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
190,Bengkulu,ID,82.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
198,Mildura,AU,82.36,clear sky,-34.2,142.15,Mercure Hotel Mildura
207,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
208,Witu,KE,80.76,moderate rain,-2.3889,40.4382,
213,Port-Gentil,GA,78.6,overcast clouds,-0.7193,8.7815,Fengshui Residence
216,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
221,Kudahuvadhoo,MV,81.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
232,Gorontalo,ID,85.44,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
248,Bandarbeyla,SO,80.65,overcast clouds,9.4942,50.8122,JABIR HOTEL
253,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
254,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
256,Poum,NC,80.55,few clouds,-20.2333,164.0167,Gîte kajeon
257,Lagos,NG,79.12,overcast clouds,6.5833,3.75,
265,Santa Rosa,PH,78.78,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
273,Buala,SB,84.85,light rain,-8.145,159.5921,Maringe Lagoon Lodge
275,Pondicherry,IN,79.18,moderate rain,11.93,79.83,Villa Shanti for food lovers
276,Bonfim,BR,76.8,broken clouds,3.0833,-59.95,
278,Mahebourg,MU,84.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
279,Kloulklubed,PW,84.7,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
286,Porto Murtinho,BR,82.87,clear sky,-21.6989,-57.8825,Hotel Pantanal
290,Ambilobe,MG,82.53,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
298,Paluan,PH,83.55,overcast clouds,13.416,120.4623,Calawagan Mountain Resort
299,Pozo Colorado,PY,76.86,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
312,Lorengau,PG,86.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
313,Saint-Leu,RE,81.43,light rain,-21.15,55.2833,La Caz Oceane
314,Kilindoni,TZ,80.1,light rain,-7.9139,39.6668,Bustani B&B
316,Soyo,AO,76.3,overcast clouds,-6.1349,12.3689,Hotel Mpampa
323,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
328,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
337,Sao Filipe,CV,76.78,broken clouds,14.8961,-24.4956,Hotel Xaguate
339,Bambous Virieux,MU,84.45,few clouds,-20.3428,57.7575,Casa Tia Villa
341,Wanlaweyn,SO,80.13,light rain,2.6185,44.8938,GAASHAAN HOME
345,Kuching,MY,75.42,light intensity shower rain,1.55,110.3333,The Ranee Boutique Suites
347,Kieta,PG,82.49,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
350,Waingapu,ID,82.54,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
354,Maragogi,BR,79.72,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
357,Mataram,ID,83.21,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
358,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
359,Road Town,VG,78.89,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
368,Tual,ID,82.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
369,Sibu,MY,89.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
374,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
376,Cockburn Town,TC,77.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
