City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,light rain
1,Punta Arenas,CL,-53.15,-70.9167,50.11,57,90,11.5,overcast clouds
2,Saint-Philippe,RE,-21.3585,55.7679,81.95,81,94,3.67,light rain
3,Jamestown,US,42.097,-79.2353,31.32,93,90,6.91,light snow
4,Nizhniy Kuranakh,RU,58.8353,125.4869,2.66,90,99,6.87,overcast clouds
5,Bethel,US,41.3712,-73.414,34.16,55,20,5.75,few clouds
6,Hermanus,ZA,-34.4187,19.2345,65.16,88,98,13.69,light rain
7,Castro,BR,-24.7911,-50.0119,59.99,84,0,2.44,clear sky
8,Oberwart,AT,47.2897,16.206,32.18,97,100,5.59,light snow
9,Adrar,MR,20.5022,-10.0711,60.58,39,73,14.56,broken clouds
10,Qaanaaq,GL,77.484,-69.3632,-3.71,97,98,2.53,overcast clouds
11,Torbay,CA,47.6666,-52.7314,47.17,87,90,13.8,overcast clouds
12,Ahipara,NZ,-35.1667,173.1667,67.12,67,90,4.47,overcast clouds
13,Tiksi,RU,71.6872,128.8694,-8.45,97,100,6.42,overcast clouds
14,Hualmay,PE,-11.0964,-77.6139,65.14,89,100,9.37,overcast clouds
15,Albany,US,42.6001,-73.9662,26.47,73,53,5.1,broken clouds
16,Matara,LK,5.9485,80.5353,82.02,75,93,3.04,overcast clouds
17,Havoysund,NO,70.9963,24.6622,18.48,81,73,19.26,broken clouds
18,Upernavik,GL,72.7868,-56.1549,-3.23,86,27,10.4,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,76.39,79,74,16.4,broken clouds
20,Krasnoselkup,RU,65.7,82.4667,6.64,96,100,5.59,overcast clouds
21,Kapaa,US,22.0752,-159.319,75.18,73,1,8.05,clear sky
22,Severo-Kurilsk,RU,50.6789,156.125,30.2,70,89,28.61,overcast clouds
23,Provideniya,RU,64.3833,-173.3,-6.03,81,10,5.19,clear sky
24,Terney,RU,45.0503,136.6092,39.52,48,3,5.28,clear sky
25,Ventspils,LV,57.3894,21.5606,30.13,100,100,5.75,light snow
26,Cape Town,ZA,-33.9258,18.4232,63.01,100,90,10.36,light intensity drizzle rain
27,Haines Junction,CA,60.7522,-137.5108,-5.85,71,100,6.91,overcast clouds
28,Pitimbu,BR,-7.4706,-34.8086,75.79,70,80,9.26,broken clouds
29,Avarua,CK,-21.2078,-159.775,75.25,83,75,3.44,broken clouds
30,Hobart,AU,-42.8794,147.3294,64.26,63,20,18.41,few clouds
31,Mataura,NZ,-46.1927,168.8643,66.88,35,0,6.04,clear sky
32,Broken Hill,AU,-31.95,141.4333,74.91,39,58,14.41,broken clouds
33,Qaqortoq,GL,60.7167,-46.0333,39.7,100,100,5.53,light rain
34,Kota Kinabalu,MY,5.9749,116.0724,89.58,70,20,4.61,few clouds
35,Fairbanks,US,64.8378,-147.7164,-16.64,76,90,0.0,light snow
36,Chuy,UY,-33.6971,-53.4616,67.14,86,100,5.32,overcast clouds
37,Hasaki,JP,35.7333,140.8333,59.29,43,1,13.8,clear sky
38,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,13.8,scattered clouds
