City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vestmannaeyjar,IS,2021-11-27 07:27:34,63.4427,-20.2734,33.66,58,100,7.18
1,Punta Arenas,CL,2021-11-27 07:23:55,-53.15,-70.9167,41.11,81,75,6.91
2,Sao Filipe,CV,2021-11-27 07:27:34,14.8961,-24.4956,76.91,75,3,10.58
3,Beringovskiy,RU,2021-11-27 07:27:35,63.05,179.3167,1.62,97,100,10.49
4,Faanui,PF,2021-11-27 07:27:35,-16.4833,-151.75,81.63,68,12,19.35
5,Vaini,TO,2021-11-27 07:27:36,-21.2,-175.2,78.96,94,75,3.44
6,Puerto Ayora,EC,2021-11-27 07:27:36,-0.7393,-90.3518,68.58,83,54,9.01
7,Castro,BR,2021-11-27 07:27:36,-24.7911,-50.0119,57.45,96,52,4.34
8,Rikitea,PF,2021-11-27 07:23:28,-23.1203,-134.9692,75.96,76,22,15.08
9,Jamestown,US,2021-11-27 07:25:43,42.097,-79.2353,27.99,74,90,12.66
10,Olafsvik,IS,2021-11-27 07:27:37,64.8945,-23.7142,38.35,95,100,13.98
11,Caceres,ES,2021-11-27 07:27:38,39.522,-6.3748,37.15,92,20,6.24
12,Ushuaia,AR,2021-11-27 07:27:38,-54.8,-68.3,40.66,75,40,3.44
13,Lorengau,PG,2021-11-27 07:27:39,-2.0226,147.2712,83.12,75,72,2.42
14,Touros,BR,2021-11-27 07:27:39,-5.1989,-35.4608,79.7,82,92,11.65
15,New Norfolk,AU,2021-11-27 07:27:40,-42.7826,147.0587,63.9,45,6,5.28
16,Waynesboro,US,2021-11-27 07:27:40,38.0685,-78.8895,29.59,54,1,6.91
17,Cidreira,BR,2021-11-27 07:23:25,-30.1811,-50.2056,69.08,93,91,10.58
18,Qaanaaq,GL,2021-11-27 07:27:41,77.484,-69.3632,4.05,94,100,9.93
19,Carnarvon,AU,2021-11-27 07:27:41,-24.8667,113.6333,93.27,33,0,16.11
20,Wilmington,US,2021-11-27 07:27:42,34.2257,-77.9447,35.51,64,1,5.75
21,Clyde River,CA,2021-11-27 07:27:42,70.4692,-68.5914,1.63,85,11,6.91
22,Narsaq,GL,2021-11-27 07:27:42,60.9167,-46.05,35.82,100,100,4.36
23,Umm Kaddadah,SD,2021-11-27 07:25:09,13.6017,26.6876,76.48,15,3,18.59
24,Lavrentiya,RU,2021-11-27 07:27:43,65.5833,-171.0,-8.91,92,10,8.23
25,Nanortalik,GL,2021-11-27 07:27:44,60.1432,-45.2371,43.63,97,100,14.94
26,Hilo,US,2021-11-27 07:23:48,19.7297,-155.09,69.53,83,1,6.91
27,Kahului,US,2021-11-27 07:25:19,20.8947,-156.47,70.86,64,1,3.44
28,East London,ZA,2021-11-27 07:27:44,-33.0153,27.9116,67.14,77,20,14.97
29,Svetlaya,RU,2021-11-27 07:27:45,46.5389,138.3297,32.16,71,82,7.96
30,Butaritari,KI,2021-11-27 07:27:45,3.0707,172.7902,82.26,76,77,16.84
31,Byron Bay,AU,2021-11-27 07:27:46,-28.65,153.6167,73.51,83,100,16.4
32,Mweka,CD,2021-11-27 07:27:46,-4.85,21.5667,69.1,90,99,3.11
33,Vila Velha,BR,2021-11-27 07:26:59,-20.3297,-40.2925,75.15,73,40,10.36
34,Ambatondrazaka,MG,2021-11-27 07:27:47,-17.8333,48.4167,72.43,77,100,1.66
35,Busselton,AU,2021-11-27 07:27:47,-33.65,115.3333,85.06,31,1,7.27
36,Hermanus,ZA,2021-11-27 07:27:48,-34.4187,19.2345,66.4,62,43,14.9
37,Havre-Saint-Pierre,CA,2021-11-27 07:27:48,50.2334,-63.5986,43.39,100,90,14.97
38,Cape Town,ZA,2021-11-27 07:24:25,-33.9258,18.4232,66.61,68,40,14.97
39,Port Hardy,CA,2021-11-27 07:27:49,50.6996,-127.4199,42.8,87,90,5.75
40,Kapaa,US,2021-11-27 07:27:49,22.0752,-159.319,73.72,73,20,9.22
41,Sitka,US,2021-11-27 07:27:49,57.0531,-135.33,35.49,80,90,6.91
42,Hualmay,PE,2021-11-27 07:27:50,-11.0964,-77.6139,65.21,87,100,7.09
43,Yaan,NG,2021-11-27 07:27:50,7.3833,8.5667,78.4,73,90,6.31
44,Longyearbyen,SJ,2021-11-27 07:27:51,78.2186,15.6401,10.24,85,90,3.44
45,Muscat,OM,2021-11-27 07:27:51,23.6139,58.5922,86.02,39,5,2.42
46,Bonthe,SL,2021-11-27 07:27:52,7.5264,-12.505,76.98,89,12,4.14
47,Mataura,NZ,2021-11-27 07:27:52,-46.1927,168.8643,52.86,59,44,5.99
48,Albany,US,2021-11-27 07:25:41,42.6001,-73.9662,28.98,74,64,16.73
